ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Indicator value,Lower 95% CI,Upper 95% CI,Significance
31UE,E07000132,Hinckley and Bosworth CD,ONS5.7,2006-2008,26.5,24.5,28.5,Significantly worse than England average
31UG,E07000133,Melton CD,ONS5.7,2006-2008,24.4,21.6,27.4,Not significantly different from England average
31UH,E07000134,North West Leicestershire CD,ONS5.7,2006-2008,25.0,23.1,27.1,Not significantly different from England average
31UJ,E07000135,Oadby and Wigston CD,ONS5.7,2006-2008,23.8,21.2,26.4,Not significantly different from England average
32UB,E07000136,Boston CD,ONS5.7,2006-2008,26.8,24.0,29.8,Not significantly different from England average
32UC,E07000137,East Lindsey CD,ONS6.10,2006-2008,25.3,23.6,27.1,Not significantly different from England average
32UD,E07000138,Lincoln CD,ONS1.1,2006-2008,23.6,21.5,25.7,Not significantly different from England average
32UE,E07000139,North Kesteven CD,ONS5.7,2006-2008,24.5,22.5,26.6,Not significantly different from England average
32UF,E07000140,South Holland CD,ONS5.7,2006-2008,26.9,24.7,29.2,Significantly worse than England average
32UG,E07000141,South Kesteven CD,ONS5.7,2006-2008,24.3,22.6,26.1,Not significantly different from England average
32UH,E07000142,West Lindsey CD,ONS5.7,2006-2008,24.3,22.2,26.5,Not significantly different from England average
33UB,E07000143,Breckland CD,ONS5.7,2006-2008,25.7,24.0,27.5,Not significantly different from England average
33UC,E07000144,Broadland CD,ONS5.7,2006-2008,25.1,23.4,26.9,Not significantly different from England average
33UD,E07000145,Great Yarmouth CD,ONS6.10,2006-2008,28.1,26.0,30.3,Significantly worse than England average
33UE,E07000146,King's Lynn and West Norfolk CD,ONS5.7,2006-2008,24.9,23.3,26.5,Not significantly different from England average
33UF,E07000147,North Norfolk CD,ONS6.10,2006-2008,24.4,22.5,26.4,Not significantly different from England average
33UG,E07000148,Norwich CD,ONS1.1,2006-2008,21.7,19.9,23.5,Significantly better than England average
33UH,E07000149,South Norfolk CD,ONS5.7,2006-2008,24.5,22.6,26.3,Not significantly different from England average
34UB,E07000150,Corby CD,ONS7.12,2006-2008,26.4,23.6,29.4,Not significantly different from England average
34UC,E07000151,Daventry CD,ONS5.7,2006-2008,23.7,21.6,26.0,Not significantly different from England average
34UD,E07000152,East Northamptonshire CD,ONS5.7,2006-2008,25.1,22.9,27.4,Not significantly different from England average
34UE,E07000153,Kettering CD,ONS5.7,2006-2008,24.9,22.8,27.1,Not significantly different from England average
34UF,E07000154,Northampton CD,ONS5.8,2006-2008,24.1,22.9,25.4,Not significantly different from England average
34UG,E07000155,South Northamptonshire CD,ONS5.7,2006-2008,22.8,20.8,25.0,Not significantly different from England average
34UH,E07000156,Wellingborough CD,ONS5.8,2006-2008,26.9,24.5,29.3,Significantly worse than England average
36UB,E07000163,Craven CD,ONS6.10,2006-2008,22.8,20.4,25.3,Not significantly different from England average
36UC,E07000164,Hambleton CD,ONS5.7,2006-2008,24.3,22.2,26.5,Not significantly different from England average
36UD,E07000165,Harrogate CD,ONS5.7,2006-2008,20.7,19.3,22.2,Significantly better than England average
36UE,E07000166,Richmondshire CD,ONS5.7,2006-2008,26.7,23.6,30.1,Not significantly different from England average
36UF,E07000167,Ryedale CD,ONS6.10,2006-2008,26.4,23.6,29.4,Not significantly different from England average
36UG,E07000168,Scarborough CD,ONS6.10,2006-2008,25.3,23.4,27.3,Not significantly different from England average
36UH,E07000169,Selby CD,ONS5.7,2006-2008,27.8,25.4,30.2,Significantly worse than England average
37UB,E07000170,Ashfield CD,ONS7.12,2006-2008,28.4,26.5,30.3,Significantly worse than England average
37UC,E07000171,Bassetlaw CD,ONS7.12,2006-2008,24.5,22.7,26.4,Not significantly different from England average
37UD,E07000172,Broxtowe CD,ONS5.7,2006-2008,22.3,20.7,24.1,Significantly better than England average
37UE,E07000173,Gedling CD,ONS5.7,2006-2008,23.9,22.2,25.8,Not significantly different from England average
37UF,E07000174,Mansfield CD,ONS7.12,2006-2008,25.6,23.6,27.7,Not significantly different from England average
37UG,E07000175,Newark and Sherwood CD,ONS5.7,2006-2008,24.1,22.2,26.1,Not significantly different from England average
37UJ,E07000176,Rushcliffe CD,ONS5.7,2006-2008,19.4,17.9,21.0,Significantly better than England average
38UB,E07000177,Cherwell CD,ONS5.7,2006-2008,24.0,22.4,25.7,Not significantly different from England average
38UC,E07000178,Oxford CD,ONS1.3,2006-2008,16.4,15.1,17.7,Significantly better than England average
38UD,E07000179,South Oxfordshire CD,ONS5.9,2006-2008,20.0,18.6,21.5,Significantly better than England average
38UE,E07000180,Vale of White Horse CD,ONS5.9,2006-2008,20.9,19.2,22.6,Significantly better than England average
38UF,E07000181,West Oxfordshire CD,ONS5.7,2006-2008,23.5,21.7,25.3,Not significantly different from England average
40UB,E07000187,Mendip CD,ONS5.7,2006-2008,25.7,23.9,27.7,Not significantly different from England average
40UC,E07000188,Sedgemoor CD,ONS5.7,2006-2008,26.8,24.9,28.9,Significantly worse than England average
40UD,E07000189,South Somerset CD,ONS5.7,2006-2008,26.2,24.7,27.7,Significantly worse than England average
40UE,E07000190,Taunton Deane CD,ONS5.7,2006-2008,24.3,22.5,26.3,Not significantly different from England average
40UF,E07000191,West Somerset CD,ONS6.10,2006-2008,26.3,23.1,29.7,Not significantly different from England average
41UB,E07000192,Cannock Chase CD,ONS7.12,2006-2008,29.1,27.0,31.3,Significantly worse than England average
41UC,E07000193,East Staffordshire CD,ONS7.12,2006-2008,25.7,23.8,27.6,Not significantly different from England average
41UD,E07000194,Lichfield CD,ONS5.7,2006-2008,25.5,23.5,27.7,Not significantly different from England average
41UE,E07000195,Newcastle-under-Lyme CD,ONS7.12,2006-2008,25.8,24.0,27.6,Not significantly different from England average
41UF,E07000196,South Staffordshire CD,ONS5.7,2006-2008,26.8,24.8,28.8,Significantly worse than England average
41UG,E07000197,Stafford CD,ONS5.7,2006-2008,24.4,22.7,26.1,Not significantly different from England average
41UH,E07000198,Staffordshire Moorlands CD,ONS5.7,2006-2008,27.5,25.5,29.7,Significantly worse than England average
41UK,E07000199,Tamworth CD,ONS7.12,2006-2008,30.7,28.2,33.2,Significantly worse than England average
42UB,E07000200,Babergh CD,ONS5.7,2006-2008,24.0,21.9,26.1,Not significantly different from England average
42UC,E07000201,Forest Heath CD,ONS5.8,2006-2008,23.4,20.9,26.1,Not significantly different from England average
42UD,E07000202,Ipswich CD,ONS5.8,2006-2008,24.5,22.8,26.3,Not significantly different from England average
42UE,E07000203,Mid Suffolk CD,ONS5.7,2006-2008,24.2,22.2,26.2,Not significantly different from England average
42UF,E07000204,St Edmundsbury CD,ONS5.7,2006-2008,24.4,22.6,26.4,Not significantly different from England average
42UG,E07000205,Suffolk Coastal CD,ONS5.7,2006-2008,22.4,20.7,24.1,Significantly better than England average
42UH,E07000206,Waveney CD,ONS6.10,2006-2008,27.0,25.1,29.0,Significantly worse than England average
43UB,E07000207,Elmbridge CD,ONS5.9,2006-2008,19.5,18.1,21.0,Significantly better than England average
43UC,E07000208,Epsom and Ewell CD,ONS5.9,2006-2008,22.3,20.1,24.6,Not significantly different from England average
43UD,E07000209,Guildford CD,ONS5.9,2006-2008,21.0,19.5,22.5,Significantly better than England average
43UE,E07000210,Mole Valley CD,ONS5.9,2006-2008,21.3,19.6,23.1,Significantly better than England average
43UF,E07000211,Reigate and Banstead CD,ONS5.9,2006-2008,23.5,21.9,25.2,Not significantly different from England average
43UG,E07000212,Runnymede CD,ONS5.9,2006-2008,23.1,21.0,25.4,Not significantly different from England average
43UH,E07000213,Spelthorne CD,ONS5.9,2006-2008,26.0,24.0,28.1,Not significantly different from England average
43UJ,E07000214,Surrey Heath CD,ONS5.9,2006-2008,22.2,20.3,24.2,Not significantly different from England average
43UK,E07000215,Tandridge CD,ONS5.9,2006-2008,23.8,21.7,26.0,Not significantly different from England average
43UL,E07000216,Waverley CD,ONS5.9,2006-2008,20.6,19.1,22.1,Significantly better than England average
43UM,E07000217,Woking CD,ONS5.9,2006-2008,22.0,20.1,24.0,Significantly better than England average
44UB,E07000218,North Warwickshire CD,ONS5.7,2006-2008,29.6,26.7,32.7,Significantly worse than England average
44UC,E07000219,Nuneaton and Bedworth CD,ONS7.12,2006-2008,29.8,27.9,31.7,Significantly worse than England average
44UD,E07000220,Rugby CD,ONS5.7,2006-2008,25.8,23.7,27.9,Not significantly different from England average
44UE,E07000221,Stratford-on-Avon CD,ONS5.7,2006-2008,23.5,21.7,25.3,Not significantly different from England average
44UF,E07000222,Warwick CD,ONS5.7,2006-2008,21.4,19.8,23.1,Significantly better than England average
45UB,E07000223,Adur CD,ONS5.7,2006-2008,27.8,25.1,30.6,Significantly worse than England average
45UC,E07000224,Arun CD,ONS6.10,2006-2008,26.0,24.3,27.8,Significantly worse than England average
45UD,E07000225,Chichester CD,ONS6.10,2006-2008,22.8,21.0,24.7,Not significantly different from England average
45UE,E07000226,Crawley CD,ONS5.8,2006-2008,28.4,26.3,30.6,Significantly worse than England average
45UF,E07000227,Horsham CD,ONS5.9,2006-2008,23.3,21.6,25.1,Not significantly different from England average
45UG,E07000228,Mid Sussex CD,ONS5.9,2006-2008,23.4,21.8,25.1,Not significantly different from England average
45UH,E07000229,Worthing CD,ONS1.1,2006-2008,25.1,23.2,27.2,Not significantly different from England average
47UB,E07000234,Bromsgrove CD,ONS5.7,2006-2008,24.9,23.1,26.8,Not significantly different from England average
47UC,E07000235,Malvern Hills CD,ONS5.7,2006-2008,23.1,21.2,25.2,Not significantly different from England average
47UD,E07000236,Redditch CD,ONS7.12,2006-2008,28.6,26.5,30.8,Significantly worse than England average
47UE,E07000237,Worcester CD,ONS5.8,2006-2008,24.1,22.3,26.0,Not significantly different from England average
47UF,E07000238,Wychavon CD,ONS5.7,2006-2008,25.1,23.5,26.7,Not significantly different from England average
47UG,E07000239,Wyre Forest CD,ONS5.7,2006-2008,27.7,25.7,29.8,Significantly worse than England average
